Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Geology and Geophysics, Department of","University of Arizona, The","Global Change, GIDP",4,4,0,0,1,0,0,0
"Geology and Geophysics, Department of","University of California, Berkeley","Bioengineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Berkeley","Earth and Planetary Science, Department of",2,3,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Davis","Earth and Planetary Sciences, Department of",5,3,0,0,5,0,0,0
"Geology and Geophysics, Department of","University of California, Davis","Physics and Astronomy, Department of",1,0,0,0,2,0,0,0
"Geology and Geophysics, Department of","University of California, Davis","Population Health and Reproduction, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Davis","Animal Science, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Davis","Environmental Toxicology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Irvine","Earth System Science, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Los Angeles","Atmospheric and Oceanic Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Los Angeles","Earth, Planetary, and Space Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Los Angeles","Ecology and Evolutionary Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Riverside","Earth and Planetary Sciences, Department of",2,3,0,0,3,0,0,0
"Geology and Geophysics, Department of","University of California, San Diego","Oceanography (Scripps), Institution of",12,14,0,0,3,0,0,0
"Geology and Geophysics, Department of","University of California, San Diego","Biological Sciences - Molecular Biology, Section of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Santa Barbara","Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Santa Barbara","Earth Science, Department of",3,3,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Santa Barbara","Ecology, Evolution and Marine Biology, Department of",3,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Santa Barbara","Geography, Department of",2,2,0,0,1,0,0,0
"Geology and Geophysics, Department of","University of California, Santa Cruz","Earth and Planetary Sciences, Department of",4,5,0,0,1,0,0,0
"Geology and Geophysics, Department of","University of California, Santa Cruz","Ocean Sciences, Department of",2,5,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Chicago, The","Geophysical Sciences, Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Colorado Boulder,"Atmospheric and Oceanic Sciences (ATOC), Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Colorado Boulder,"Geological Sciences, Department of",4,6,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Colorado Denver,"Physics, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Connecticut,"Marine Sciences, Department of",4,4,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Connecticut,"Molecular and Cell Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Connecticut,"Geosciences, Department of",1,0,0,0,1,0,0,0
"Geology and Geophysics, Department of",University of Delaware,"Civil, Construction, and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Delaware,"Earth Sciences, Department of",2,3,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Florida,"Microbiology and Cell Science, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Georgia,"Cellular Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Georgia,"Crop and Soil Science, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Georgia,"Geology, Department of",1,0,0,0,1,0,0,0
"Geology and Geophysics, Department of",University of Georgia,"Marine Programs, School of",5,5,0,0,1,0,0,0
"Geology and Geophysics, Department of",University of Hawai'i - Manoa,"Earth Sciences, Department of",4,7,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Hawai'i - Manoa,"Oceanography, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Houston,"Earth and Atmospheric Science, Department of",1,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Illinois Chicago,"Earth and Environmental Sciences, Department of",1,0,0,0,5,0,0,0
"Geology and Geophysics, Department of","University of Kansas, The","Geology, Department of",1,0,0,0,3,0,0,0
"Geology and Geophysics, Department of","University of Maine, The","Earth and Climate Sciences, School of",3,1,0,0,1,0,0,0
"Geology and Geophysics, Department of","University of Maine, The","Marine Sciences, School of",5,3,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Maine, The","Policy and International Affairs, School of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Maryland, College Park","Astronomy, Department of",1,4,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Maryland, College Park","Geology, Department of",2,6,0,0,3,0,0,0
"Geology and Geophysics, Department of",University of Massachusetts Amherst,"Earth, Geographic, and Climate Sciences, Department of",3,6,0,1,2,0,0,0
"Geology and Geophysics, Department of",University of Massachusetts Amherst,"Microbiology, Department of",2,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Massachusetts Amherst,"Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Miami,"Ocean Sciences, Department of",2,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Miami,"Marine Geosciences, Department of",1,1,0,0,1,0,0,0
"Geology and Geophysics, Department of",University of Michigan,"Ecology and Evolutionary Biology, Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Michigan,"Environment and Sustainability, School for",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Michigan,"Earth and Environmental Science, Department of",3,4,0,0,2,0,0,0
"Geology and Geophysics, Department of","University of Minnesota, Twin Cities","Soil, Water and Climate, Department of",3,4,0,0,5,0,0,0
"Geology and Geophysics, Department of","University of Minnesota, Twin Cities","Earth and Environmental Sciences, Department of",3,4,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Nebraska - Lincoln,"Agronomy and Horticulture, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Nevada, Las Vegas","Life Sciences, School of",1,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Nevada, Reno","Geological Sciences and Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of New Hampshire,"Earth Sciences, Department of",2,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of New Hampshire,"Marine Science and Ocean Engineering, School of",3,3,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of North Carolina at Chapel Hill,"Earth, Marine and Environmental Sciences, Department of",4,16,0,0,3,0,0,0
"Geology and Geophysics, Department of",University of North Carolina Charlotte,"Geography and Earth Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Oregon,"Computer and Data Sciences, School of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Oregon,"Earth Sciences, Department of",3,6,0,0,1,0,0,0
"Geology and Geophysics, Department of",University of Pennsylvania,"Earth and Environmental Science, Department of",2,5,0,0,1,0,0,0
"Geology and Geophysics, Department of",University of Rhode Island,"Cell and Molecular Biology, Department of",2,3,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Rhode Island,"Geosciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Rhode Island,"Ocean Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Rhode Island,"Oceanography, Graduate School of",7,6,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Rochester,"Earth and Environmental Sciences, Department of",1,4,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of South Carolina,"Biological Sciences, Department of",1,1,0,0,0,1,0,0
"Geology and Geophysics, Department of",University of South Carolina,"Earth, Ocean, and Environment, School of",4,6,0,1,1,1,0,0
"Geology and Geophysics, Department of",University of South Florida,"Marine Science, College of",5,3,0,0,3,0,0,0
"Geology and Geophysics, Department of",University of South Florida,"Geosciences, School of",1,0,0,0,1,0,0,0
"Geology and Geophysics, Department of",University of Southern California,"Biological Sciences, Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Southern California,"Earth Sciences, Department of",6,2,0,0,3,0,0,0
"Geology and Geophysics, Department of","University of Southern Mississippi, The","Geography and Geology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Southern Mississippi, The","Ocean Science and Engineering, School of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Utah, The","Geology and Geophysics, Department of",2,10,0,0,9,1,0,0
"Geology and Geophysics, Department of",University of Virginia,"Environmental Sciences, Department of",1,1,0,0,0,0,0,0
