Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physics, Department of",New Mexico State University,"Astronomy, Department of",4,4,0,0,1,0,0,0
"Physics, Department of",New Mexico State University,"Physics, Department of",5,68,0,0,4,0,0,0
"Physics, Department of",University of Miami,"Biology, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",University of Miami,"Physics, Department of",2,0,0,0,3,0,0,0
"Physics, Department of",University of Massachusetts Medical School,"Biochemistry and Molecular Biotechnology, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",University of Massachusetts Medical School,"Neurobiology, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",University of Massachusetts Medical School,"Pathology, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",University of Massachusetts Medical School,"Genomics and Computational Biology, Department of",1,3,0,0,0,0,0,0
"Physics, Department of",University of Massachusetts Medical School,"Systems Biology, Department of",2,6,0,1,0,0,0,0
"Physics, Department of","University of Maryland, College Park","Astronomy, Department of",11,39,0,0,6,0,0,0
"Physics, Department of","University of Maryland, College Park","Chemistry and Biochemistry, Department of",1,298,0,0,0,0,0,0
"Physics, Department of","University of Maryland, College Park","Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Physics, Department of","University of Maryland, College Park","Computer Science, Department of",1,1,0,0,0,0,0,0
"Physics, Department of","University of Maryland, College Park","Electrical and Computer Engineering, Department of",1,2,0,0,0,0,0,0
"Physics, Department of","University of Maryland, College Park","Materials Science and Engineering, Department of",1,273,0,0,0,0,0,0
"Physics, Department of","University of Maryland, College Park","Mathematics, Department of",1,1,0,0,0,0,0,0
"Physics, Department of","University of Maryland, College Park","Physics, Department of",26,656,0,0,171,0,1,0
"Physics, Department of",Louisiana Tech University,"Chemistry, Department of",1,4,0,0,0,0,0,0
"Physics, Department of",Louisiana Tech University,"Physics, Department of",5,8,0,0,0,0,0,0
"Physics, Department of",Georgia State University,"Physics and Astronomy, Department of",7,25,0,0,1,0,0,0
"Physics, Department of",Virginia Commonwealth University,"Mechanical and Nuclear Engineering, Department of",1,4,0,0,0,0,0,0
"Physics, Department of",Texas A&M University,"Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Texas A&M University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Texas A&M University,"Mathematics, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Texas A&M University,"Physics and Astronomy, Department of",17,349,0,0,4,0,0,0
"Physics, Department of",Texas A&M University,"Materials Science and Engineering, Department of",2,2,0,0,1,0,0,0
"Physics, Department of",Texas A&M University,"Electrical and Computer Engineering at Qatar, Program in",1,298,0,0,0,0,0,0
"Physics, Department of",Virginia Polytechnic Institute and State University,"Electrical and Computer Engineering, Department of",1,13,0,0,9,0,0,0
"Physics, Department of",Virginia Polytechnic Institute and State University,"Physics, Department of",13,124,0,0,4,0,0,0
"Physics, Department of",Kansas State University,"Chemical Engineering, Department of",1,4,0,0,0,0,0,0
"Physics, Department of",Kansas State University,"Physics, Department of",5,362,0,0,0,0,0,0
"Physics, Department of",Columbia University,"Applied Physics and Applied Mathematics, Department of",7,11,0,0,0,0,1,0
"Physics, Department of",Columbia University,"Astronomy, Department of",15,127,0,0,111,1,0,0
"Physics, Department of",Columbia University,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Columbia University,"Electrical Engineering, Department of",1,0,0,0,0,0,1,0
"Physics, Department of",Columbia University,"Mechanical Engineering, Department of",1,3,0,0,0,0,0,0
"Physics, Department of",Columbia University,"Physics, Department of",20,275,0,0,108,1,0,0
"Physics, Department of","University of California, Berkeley","Astronomy, Department of",7,79,0,0,0,0,0,0
"Physics, Department of","University of California, Berkeley","Chemistry, Department of",2,2,0,0,1,0,1,0
"Physics, Department of","University of California, Berkeley","Earth and Planetary Science, Department of",1,2,0,0,0,0,0,0
"Physics, Department of","University of California, Berkeley","Electrical Engineering and Computer Sciences, Department of",5,14,0,0,0,0,1,0
"Physics, Department of","University of California, Berkeley","Nuclear Engineering, Department of",1,3,0,0,0,0,0,0
"Physics, Department of","University of California, Berkeley","Physics, Department of",31,352,0,0,11,0,3,0
"Physics, Department of",Kent State University,"Physics, Department of",6,4,0,0,0,0,0,0
"Physics, Department of",Northwestern University,"Chemical and Biological Engineering, Department of",1,3,0,0,0,0,0,0
"Physics, Department of",Northwestern University,"Electrical Engineering and Computer Engineering, Department of",3,3,0,0,0,0,0,0
"Physics, Department of",Northwestern University,"Materials Science and Engineering, Department of",4,3,0,0,0,0,0,0
"Physics, Department of",Northwestern University,"Pharmacology, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Northwestern University,"Physics and Astronomy, Department of",11,393,0,0,2,0,0,0
"Physics, Department of",Brandeis University,"Physics, School of",2,157,0,0,0,0,0,0
"Physics, Department of",Duquesne University,"Physics, Department of",1,26,0,0,0,0,0,0
